ID,Name,QID,Score,Status,CreatedAt,Description
cmjs1jjy0005tb28te81500go,Geoffrey Hinton,Q92894,10.9,ready,2025-12-30T03:41:59.352Z,英裔加拿大计算机科学家和心理学家
cmjtsx87a00043estei08y4na,Ilya Sutskever,Q21712134,10.8,ready,2025-12-31T09:16:12.357Z,人工智能研究员
cmjs1by3o002wb28tsdopns4d,黄仁勋,Q305177,10.8,ready,2025-12-30T03:36:04.453Z,美国企业家和商人；英伟达创始人兼首席执行官
cmjtsw84q00023esto9f6h0w6,Demis Hassabis,Q3022141,10.7,ready,2025-12-31T09:15:25.683Z,英国人工智能研究员（生于1976年）
cmjrz11xi0002b28tg14eugjo,Sam Altman,Q7407093,10.6,ready,2025-12-30T02:31:36.966Z,美国硅谷风险投资家（生于1985年）
cmjtsvqew00013est5j2tsqcx,Yoshua Bengio,Q3572699,10.5,ready,2025-12-31T09:15:03.416Z,加拿大计算机科学家（生于1964年）
cmjtsvcil00003esttihbrsjm,Yann LeCun,Q3571662,10.5,ready,2025-12-31T09:14:45.405Z,法国计算机科学家（生于1960年）
cmjtswmqg00033est2ofuqdw0,Dario Amodei,Q103335665,10.4,ready,2025-12-31T09:15:44.621Z,Anthropic联合创始人兼首席执行官，2011年普林斯顿大学博士
cmjtsxhyo00053est14oy641y,李飞飞,Q18686107,10.2,ready,2025-12-31T09:16:25.777Z,University of Illinois Urbana–ChampaignEmployee
cmjrzl1b0001hb28tvtm3unfg,Elon Musk,Q317521,10.1,ready,2025-12-30T02:47:09.277Z,商人和企业家（生于1971年）
cmjtsyi9h00083estwubt8ny9,Noam Shazeer,Q30251943,9.9,ready,2025-12-31T09:17:12.302Z,美国机器学习研究员
cmjtxe4kc000f5p08n4sq7547,阿希什·瓦斯瓦尼,Q44749723,9.9,ready,2025-12-31T11:21:20.029Z,机器学习研究员
cmjtxc4op00015p081bdqzfmb,亚历克·拉德福德,Q29180956,9.8,ready,2025-12-31T11:19:46.873Z,机器学习研究员/开发者
cmjtxdf96000a5p08z94252m2,杰夫·迪恩,Q6173703,9.7,ready,2025-12-31T11:20:47.226Z,美国计算机科学家
cmjsmop1e00017wc35sdo9tff,Greg Brockman,Q100604534,9.6,ready,2025-12-30T13:33:51.171Z,美国企业家、投资者和软件开发人员
cmjsme4n800009u972zrrxrei,Andrej Karpathy,Q56037405,9.5,ready,2025-12-30T13:25:38.179Z,斯洛伐克裔加拿大人工智能研究员（生于1986年）
cmjvfe2l0000alqwqnhk4p1am,萨提亚·纳德拉,Q7426870,9.4,pending,2026-01-01T12:32:56.725Z,印度裔美国商业高管，微软首席执行官
cmjtwkgug0004opf3th1cmczu,李开复,Q699605,9.2,ready,2025-12-31T10:58:16.265Z,创新工场、零一万物
cmjtsz3vd000a3est4svv1iy9,Mustafa Suleyman,Q16847797,8.8,ready,2025-12-31T09:17:40.825Z,DeepMind 和 Inflection AI 联合创始人，现任微软人工智能 CEO。
cmjtxcggg00035p08qz4fgjbn,Chris Olah,Q50358648,8.7,ready,2025-12-31T11:20:02.128Z,人工智能研究员
cmjtv28ik0007i004hn1xz67d,Arthur Mensch,Q123758735,8.6,ready,2025-12-31T10:16:06.044Z,Mistral AI 联合创始人兼 CEO，前 DeepMind 研究员。
cmjv6furu000qmfgh4ljlvuyh,Jeremy Howard,Q104057024,8.5,ready,2026-01-01T08:22:23.370Z,fast.ai 联合创始人，致力于深度学习的民主化。Kaggle 前总裁。
cmjtv233j0006i004uet1cwt0,Aidan Gomez,Q110864219,8.5,ready,2025-12-31T10:15:58.610Z,Cohere 联合创始人兼 CEO，Transformer 论文作者之一。
cmjtsxyrk00063esttwxwxw14,吴恩达,Q2846695,8.4,ready,2025-12-31T09:16:47.552Z,美国人工智能研究员
cmjv6furu000emfgh0aoztt24,Marc Andreessen,Q62882,8.3,ready,2026-01-01T08:22:23.370Z,NetscapeEmployee
cmjv6furu000cmfghk9hx1jql,Paul Graham,Q92650,8.3,ready,2026-01-01T08:22:23.370Z,Gateway High SchoolStudent
cmjtwkcw00002opf3k1hdzjor,杨植麟,BAIKE_杨植麟,8.2,pending,2025-12-31T10:58:11.137Z,月之暗面 (Moonshot AI) 创始人。
cmjtsy8k300073est1f38zcel,Mira Murati,Q116706551,7.9,ready,2025-12-31T09:17:00.243Z,阿尔巴尼亚裔美国商业高管（生于1988年）
cmjv6furu0004mfghxllk5gjq,Scott Wu,Q125132537,7.8,pending,2026-01-01T08:22:23.370Z,哈佛大学经济学
cmjtxe7r3000g5p0868zhzky2,雅各布·乌什科雷特,Q98891246,7.7,ready,2025-12-31T11:21:23.804Z,机器学习研究员
cmjtxecfs000h5p088f0rb7vd,Lukasz Kaiser,Q30251976,7.7,ready,2025-12-31T11:21:30.232Z,机器学习研究员
cmjtwksri000aopf3xzym5sx8,唐杰,Q43147100,7.6,ready,2025-12-31T10:58:31.711Z,清华大学、智谱AI
cmjv6furu000pmfghv7drjtak,Richard Socher,Q22827172,7.5,ready,2026-01-01T08:22:23.370Z,斯坦福大学Student
cmjvd5h5e0008kvtpx9afvlid,印奇,Q48935989,7.5,pending,2026-01-01T11:30:16.126Z,印奇，男，1988年1月出生于安徽省芜湖市，现任千里科技董事长、法定代表人，北京市工商联兼职副主席。2006年考入清华大学自动化专业，后入选清华大学姚期智实验班，2010年获计算机科学学士学位，后赴香港中文大学学习。2013年获得哥伦比亚大学计算机科学硕士学位，研究方向为人工智能。2011年与唐文斌、杨沐联合创办北京旷视科技有限公司，担任执行董事、董事会主席、首席执行官。2024年11月当选力帆科技董事长，2025年1月提出全面拥抱“AI+车”战略，2月公司更名为千里科技。2025年3月发布“千里浩瀚”智驾系统，提出超自然人机交互、自动驾驶全面落地及车联网大模型升维三大趋势。同年9月获得吉利控股集团董事长李书福授权管理千里智驾，宣布公司AI+车核心业务转型完成初步布局。其连续三年入选《财富》“中国40位40岁以下的商界精英”榜单，2019年入选国家新一代人工智能治理专业
cmjvg0clk0000tu918gyqe858,颜水成,Q114398240,7.4,pending,2026-01-01T12:50:16.136Z,昆仑万维天工智能联席 CEO，计算机视觉与机器学习专家。前 Shopee 首席科学家，Sea Group 集团首席科学家。
cmjtwkorb0008opf3p82ey7ep,周伯文,Q45607523,7.4,pending,2025-12-31T10:58:26.520Z,清华大学电子工程系长聘教授，衔远科技创始人。前京东集团高级副总裁、京东云与 AI 总裁。IEEE Fellow。
cmjtwkas50001opf3j6rrzcs0,季逸超,Q133302176,7.3,pending,2025-12-31T10:58:08.405Z,面壁智能
cmjtwk8kl0000opf3xwqc9tr4,姚舜禹,BAIKE_姚舜禹,7.3,pending,2025-12-31T10:58:05.542Z,Stepfun 阶跃星辰
cmjv6furu000tmfghcd5hz9kr,Chip Huyen,Q124640025,7.2,pending,2026-01-01T08:22:23.370Z,Chip Huyen是专注于机器学习系统生产化与实时AI应用的专家，以《机器学习系统设计》一书及在Netflix、NVIDIA的工程实践而知名。
cmjv6furu000smfghreks2bnf,Allie K. Miller,Q111399141,7.1,ready,2026-01-01T08:22:23.370Z,AmazonEmployee
cmjtxdlcn000b5p08yoct3be8,桑达尔·皮查伊,Q3503829,6.9,ready,2025-12-31T11:20:55.127Z,印度裔美国商业高管，谷歌有限责任公司和Alphabet公司的首席执行官
cmjtxkqy9000039ylucg15kqs,马克·扎克伯格,Q36215,6.9,ready,2025-12-31T11:26:28.977Z,美国互联网企业家
cmjwtn0wb00036qvtin9tmhfk,Clément Delangue,manual-clément-delangue,6.8,pending,2026-01-02T11:59:35.244Z,Hugging Face 联合创始人兼 CEO。开源 AI 社区的灵魂人物。
cmjwtn3c600076qvt4mhi18na,Raquel Urtasun,manual-raquel-urtasun,6.7,pending,2026-01-02T11:59:38.407Z,Waabi 创始人兼 CEO。自动驾驶与生成式 AI 结合的先驱。
cmjtwkkz70006opf3yblhugno,闫俊杰,Q47015719,6.6,pending,2025-12-31T10:58:21.619Z,MiniMax
cmjtwkmwg0007opf32gnh6tfk,戴文渊,BAIKE_戴文渊,6.6,pending,2025-12-31T10:58:24.112Z,第四范式（4Paradigm）创始人兼 CEO。迁移学习领域专家，曾获 ACM 基本计算竞赛世界冠军。前百度凤巢系统负责人。
